Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   25758    88876     1728    86218        0    74455     1887 69275371   825189 55490442  4515867   493480       61302    115520   558480   212475  4613223 13037437  1272559    18420      244    23116 
   25800    88880     1728    86220        0    74455     1887       47        0       29        0        0       61302    115526   558471   212470        9        0        0        0        0        0 
   25829    88880     1728    86223        0    74455     1887       30        0       21        0        0       61302    115529   558467   212468        4        0        0        0        0        0 
   25892    88851     1728    86216        0    74455     1887       23        0       22        0        0       61302    115493   558466   212468        1        0        0        0        0        0 
   25775    88870     1728    86212        0    74459     1887      804        0      782        0        0       61302    115508   558462   212465        4        0        0        0        0        0 
   25738    88784     1728    86196        0    74596     1795       64        0       61        0        0       61302    115406   558462   212465        0        0        0        0        0        0 
   25765    88836     1728    86195        0    74592     1795      175        0       57        0        0       61302    115457   558411   212442       51        0        0        0        0        0 
   24747    89395     1747    86902        0    74592     1795     1981        0      611        0        0       61341    116703   557484   212157      927        0       20        0        0        0 
   24634    89451     1747    86954        0    74592     1795      707        0      539        0        0       61341    116811   557379   212107      105        0        0        0        0        0 
   24605    89212     1765    86913        0    74953     1511      594        0      521        0        0       61364    116526   557334   212087       41        0       18        0        0        0 
   24745    89450     1765    86927        0    74613     1519      935        0      895        0        0       61364    116778   557312   212077       22        0        0        0        0        0 
   23774    90247     1765    87656        0    74533     1741     3405        4      961        0        0       61364    118304   556021   211589     1287        0        0        0        0        0 
   23617    90253     1765    87669        0    74627     1741      607        0      538        0        0       61364    118323   555987   211578       34        0        0        0        0        0 
   23928    90043     1765    87615        0    74593     1757      530        0      509        0        0       61364    118059   555980   211574        7        0        0        0        0        0 
   23778    90084     1766    87696        0    74593     1759      241       20       83        0        0       61365    118181   555940   211560       40        0        0        0        0        0 
   20561    91878     3130    88113        0    74646     1861     4839      168     1353        0        0       63083    120038   554927   211122     1001        0     1156        0        0        0 
   20522    91782     3130    88240        0    74730     1869     1064        4      978        0        0       63083    120069   554915   211115       12        0        0        0        0        0 
   13259    93888     3481    89472        0    78625     1819     6066        0     4677        0        0       63719    123122   553835   210835     1064        0      513        0        0        0 
   12857    93971     3481    89422        0    78940     1675      562        0      554        0        0       63719    123155   553832   210834        3        0        0        0        0        0 
   12759    94725     3481    89718        0    78036     1763       45        0       32        0        0       63719    124205   553828   210831        4        0        0        0        0        0 
    9697    96859     3708    91133        0    78116     1860     6955      219     1151        0        0       64033    127667   551236   210003     2590        0      162        0        4        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    7651    97524     3731    91700        0    78952     1758 69307782   825604 55507319  4515867   493480       64056    128899   551207   209989  4620458 13037437  1274428    18420      248    23116 
    7652    98386     3731    92887        0    76973     1785     1594        4     1028        0        0       64056    130948   550734   209876      473        0        0        0        0        0 
    7632    98818     3755    93371        0    76152     1971      701        0      469        0        0       64097    131847   550610   209856      119        0       36        0       24        0 
    7495    98358     3769    93230        0    76829     1965     1066        4      981        0        0       64113    131244   550603   209854        7        0        8        0        0        0 
    7738    97856     3769    92387        0    77886     1965      624        0      592        0        0       64113    129899   550598   209852        5        0        0        0        0        0 
    7856    97553     3782    92357        0    78208     1961     1058        4      956       33        0       64113    129579   550588   209846        9        0        0        0        0        0 
    7667    97330     3784    92441        0    78447     1940     1118        4     1031        0        0       64115    129440   550582   209844        6        0        0        0        0        0 
    7822    99294     3794    92499        0    76267     1944      828        0      788        0        0       64126    131461   550575   209840        7        0        6        0        0        0 
    7850    97539     3794    92635        0    77877     2156      332        0      325        0        0       64126    129842   550571   209839        4        0        0        0        0        0 
    7893    98665     3804    92646        0    76644     2168      335        0      301        0        0       64136    130979   550554   209832       17        0        0        0        0        0 
    7795    97591     3804    92705        0    77801     2168       39        0       34        0        0       64136    129964   550552   209832        2        0        0        0        0        0 
    7914    98713     3804    92700        0    76530     2168       36        0       24        0        0       64136    131081   550552   209832        0        0        0        0        0        0 
    7767    97590     3804    92683        0    77797     2168       33        0       28        0        0       64136    129941   550551   209832        1        0        0        0        0        0 
    7881    98623     3804    92683        0    76640     2168       48        0       23        0        0       64136    130974   550513   209820       14        0        0        0        0        0 
    7822    97585     3804    92666        0    77801     2164       41        0       38        0        0       64136    129919   550513   209820        0        0        0        0        0        0 
    7940    98594     3807    92666        0    76640     2164       25        0       22        0        0       64140    130927   550512   209820        1        0        4        0        0        0 
    7796    97613     3814    92659        0    77797     2168      145        0      115        7        0       64147    129939   550493   209811       19        0        0        0        0        0 
    8100    98523     3814    92608        0    76751     2168      770        0      742        0       64       64147    130798   550489   209809        4        0        0        0        0        0 
    6407    97750     4244    92636        0    78808     1794     1251        0      544        0        0       65025    129605   550214   209706      271        0      539        0        8        0 
    6051    99115     4435    92687        0    77593     1384      597        0      346        0        0       65331    130906   550151   209683       63        0      195        0        0        0 
